term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
boolean	False	False	cosine	1,1,1,4	0.1217	0.0369	0.0219	0.0061	0.0602	0.0783	0.7511	0.3605
boolean	False	False	jaccard	1,1,1,1	0.1295	0.0401	0.0232	0.0063	0.0643	0.0792	0.7408	0.3595
boolean	False	False	jaccard	1,3,4,1	0.1548	0.0565	0.0236	0.0061	0.0783	0.0915	0.7323	0.3612
boolean	False	False	jaccard	1,1,1,4	0.1153	0.0338	0.0197	0.0056	0.0563	0.0727	0.6569	0.3046
boolean	False	False	dice	1,1,1,1	0.1295	0.0401	0.0232	0.0064	0.0643	0.0792	0.7621	0.3650
boolean	False	False	dice	1,3,4,1	0.1531	0.0563	0.0236	0.0062	0.0776	0.0925	0.7596	0.3702
boolean	False	False	dice	1,1,1,4	0.1194	0.0356	0.0212	0.0060	0.0587	0.0752	0.7663	0.3579
boolean	False	False	overlap	1,1,1,1	0.1270	0.0477	0.0235	0.0060	0.0661	0.0817	0.7605	0.3659
boolean	False	False	overlap	1,3,4,1	0.1873	0.0761	0.0273	0.0065	0.0969	0.1094	0.7791	0.4012
boolean	False	False	overlap	1,1,1,4	0.1069	0.0357	0.0220	0.0060	0.0548	0.0709	0.7473	0.3392
boolean	False	True	cosine	1,1,1,1	0.2464	0.0878	0.0421	0.0079	0.1254	0.1366	0.8013	0.4676
boolean	False	True	cosine	1,3,4,1	0.2665	0.0959	0.0496	0.0076	0.1374	0.1492	0.8079	0.4824
boolean	False	True	cosine	1,1,1,4	0.1952	0.0658	0.0360	0.0082	0.0990	0.1121	0.7896	0.4393
boolean	False	True	jaccard	1,1,1,1	0.1656	0.0718	0.0341	0.0093	0.0905	0.1028	0.7679	0.4218
boolean	False	True	jaccard	1,3,4,1	0.1836	0.0827	0.0392	0.0096	0.1018	0.1114	0.7480	0.4152
boolean	False	True	jaccard	1,1,1,4	0.1735	0.0567	0.0287	0.0091	0.0863	0.0992	0.6866	0.3741
